1000
50
0	40	50	0	0	960	0
1	25	85	20	591	874	10
2	22	75	30	73	350	10
3	22	85	10	473	588	10
4	20	80	40	418	913	10
5	20	85	20	40	390	10
6	18	75	20	249	646	10
7	15	75	20	281	438	10
8	15	80	10	272	581	10
9	10	35	20	236	625	10
10	10	40	30	470	687	10
11	8	40	40	33	510	10
12	8	45	20	166	399	10
13	5	35	10	359	911	10
14	5	45	10	35	457	10
15	2	40	20	39	538	10
16	0	40	20	214	415	10
17	0	45	20	359	909	10
18	44	5	20	338	451	10
19	42	10	40	205	422	10
20	42	15	10	511	682	10
21	40	5	10	158	391	10
22	40	15	40	263	606	10
23	38	5	30	45	522	10
24	38	15	10	598	883	10
25	35	5	20	348	904	10
26	95	30	30	509	668	10
27	95	35	20	57	664	10
28	92	30	10	68	349	10
29	90	35	10	131	376	10
30	88	30	10	114	497	10
31	88	35	20	102	347	10
32	87	30	10	564	797	10
33	85	25	10	51	673	10
34	85	35	30	462	631	10
35	67	85	20	396	905	10
36	65	85	40	43	712	10
37	65	82	10	530	703	10
38	62	80	30	131	544	10
39	60	80	10	36	800	10
40	60	85	30	233	544	10
41	58	75	20	207	664	10
42	55	80	10	33	624	10
43	55	85	20	549	718	10
44	55	82	10	62	491	10
45	20	82	10	37	677	10
46	18	80	10	435	662	10
47	2	45	10	38	366	10
48	42	5	10	636	904	10
49	42	12	10	423	576	10
50	72	35	30	471	662	10
