1000
50
0	35	35	0	0	1000	0
1	41	49	10	0	974	10
2	35	17	7	0	972	10
3	55	45	13	0	967	10
4	55	20	19	678	801	10
5	15	30	26	0	969	10
6	25	30	3	415	514	10
7	20	50	5	0	968	10
8	10	43	9	404	481	10
9	55	60	16	400	497	10
10	30	60	16	577	632	10
11	20	65	12	206	325	10
12	50	35	19	0	975	10
13	30	25	23	690	827	10
14	15	10	20	0	957	10
15	30	5	8	175	300	10
16	10	20	19	0	960	10
17	5	30	2	733	870	10
18	20	40	12	0	974	10
19	15	60	17	0	957	10
20	45	65	9	0	958	10
21	45	20	11	0	971	10
22	45	10	18	409	494	10
23	55	5	29	206	325	10
24	65	35	3	0	960	10
25	65	20	6	817	956	10
26	45	30	17	0	978	10
27	35	40	16	104	255	10
28	41	37	16	0	983	10
29	64	42	9	0	960	10
30	40	60	21	259	354	10
31	31	52	27	0	972	10
32	35	69	23	0	956	10
33	53	52	11	45	200	10
34	65	55	14	0	953	10
35	63	65	8	686	813	10
36	2	60	5	41	208	10
37	20	20	8	0	968	10
38	5	5	16	302	405	10
39	60	12	31	33	224	10
40	40	25	9	360	437	10
41	42	7	5	396	511	10
42	24	12	5	25	172	10
43	23	3	7	0	955	10
44	11	14	18	233	340	10
45	6	38	16	29	189	10
46	2	48	1	0	954	10
47	8	56	27	0	955	10
48	13	52	36	0	962	10
49	6	68	30	501	540	10
50	47	47	13	0	973	10
