200
25
0	40	50	0	0	240	0
1	25	85	20	125	191	10
2	22	75	30	32	97	10
3	22	85	10	101	146	10
4	20	80	40	71	193	10
5	20	85	20	40	113	10
6	18	75	20	55	164	10
7	15	75	20	69	118	10
8	15	80	10	56	155	10
9	10	35	20	51	160	10
10	10	40	30	90	177	10
11	8	40	40	33	152	10
12	8	45	20	49	108	10
13	5	35	10	62	191	10
14	5	45	10	35	117	10
15	2	40	20	39	161	10
16	0	40	20	59	114	10
17	0	45	20	60	189	10
18	44	5	20	79	124	10
19	42	10	40	58	115	10
20	42	15	10	111	162	10
21	40	5	10	52	111	10
22	40	15	40	55	158	10
23	38	5	30	45	164	10
24	38	15	10	128	194	10
25	35	5	20	54	184	10
