1000
25
0	35	35	0	0	1000	0
1	41	49	10	0	974	10
2	35	17	7	0	972	10
3	55	45	13	0	967	10
4	55	20	19	620	860	10
5	15	30	26	0	969	10
6	25	30	3	0	978	10
7	20	50	5	0	968	10
8	10	43	9	323	563	10
9	55	60	16	329	569	10
10	30	60	16	0	964	10
11	20	65	12	146	386	10
12	50	35	19	0	975	10
13	30	25	23	639	879	10
14	15	10	20	0	957	10
15	30	5	8	118	358	10
16	10	20	19	0	960	10
17	5	30	2	0	959	10
18	20	40	12	0	974	10
19	15	60	17	0	957	10
20	45	65	9	0	958	10
21	45	20	11	0	971	10
22	45	10	18	0	963	10
23	55	5	29	146	386	10
24	65	35	3	0	960	10
25	65	20	6	716	956	10
